Date,Open,High,Low,Close,Volume
2024-01-01,100.50,102.30,99.80,101.20,1000000
2024-01-02,101.20,103.50,100.90,102.80,1200000
2024-01-03,102.80,104.10,102.00,103.45,1100000
2024-01-04,103.45,105.20,103.00,104.80,1300000
2024-01-05,104.80,106.50,104.20,105.90,1150000
2024-01-08,105.90,107.80,105.40,107.20,1400000
2024-01-09,107.20,108.90,106.80,108.45,1250000
2024-01-10,108.45,110.20,108.00,109.80,1350000
2024-01-11,109.80,111.50,109.30,110.95,1200000
2024-01-12,110.95,112.80,110.40,112.20,1450000
2024-01-15,112.20,114.10,111.80,113.60,1300000
2024-01-16,113.60,115.40,113.20,114.85,1400000
2024-01-17,114.85,116.70,114.40,116.10,1350000
2024-01-18,116.10,117.90,115.60,117.35,1500000
2024-01-19,117.35,119.20,117.00,118.75,1450000
2024-01-22,118.75,120.50,118.30,120.10,1600000
2024-01-23,120.10,121.80,119.70,121.45,1550000
2024-01-24,121.45,123.20,121.00,122.80,1650000
2024-01-25,122.80,124.60,122.40,124.15,1700000
2024-01-26,124.15,125.90,123.80,125.50,1600000
2024-01-29,125.50,127.30,125.10,126.85,1750000
2024-01-30,126.85,128.70,126.40,128.20,1800000
2024-01-31,128.20,130.10,127.80,129.55,1900000 
